text_res_zip5,db_logid,count
66780,Crawford,257
66780,Neosho,122
66781,Cherokee,917
66781,Crawford,62
66782,Cherokee,111
66783,Coffey,2
66783,Woodson,1522
66801,Chase,146
66801,Lyon,16235
66830,Lyon,188
66833,Lyon,396
66833,Wabaunsee,4
66834,Geary,126
66834,Morris,89
66834,Wabaunsee,438
66835,Lyon,844
66835,Morris,5
66838,Chase,9
66838,Marion,5
66838,Morris,106
66839,Coffey,2901
66840,Butler,181
66840,Chase,33
66840,Marion,176
66842,Butler,212
66843,Chase,139
66843,Marion,4
66845,Chase,729
66846,Chase,14
66846,Lyon,63
66846,Morris,2213
66846,Wabaunsee,2
66849,Geary,72
66849,Morris,257
66850,Chase,139
66851,Chase,2
66851,Marion,362
66852,Coffey,422
66852,Greenwood,38
66852,Woodson,10
66853,Greenwood,317
66854,Coffey,82
66854,Lyon,448
66855,Greenwood,5
66856,Coffey,964
66856,Osage,149
66857,Coffey,643
66858,Chase,11
66858,Marion,278
66859,Marion,111
66859,Morris,15
66860,Greenwood,838
66860,Lyon,93
66861,Marion,2256
66862,Chase,94
66863,Greenwood,45
66864,Coffey,26
66864,Lyon,288
66865,Chase,1
66865,Lyon,758
66866,Harvey,72
66866,Marion,984
66868,Coffey,5
66868,Lyon,431
66868,Osage,24
66869,Chase,479
66869,Morris,1
66870,Greenwood,108
66870,Woodson,7
66871,Coffey,866
66871,Osage,25
66872,Geary,9
66872,Morris,617
66873,Morris,223
66901,Cloud,3929
66901,Republic,59
66930,Republic,103
66932,Smith,100
66933,Riley,10
66933,Washington,151
66935,Republic,1772
66936,Jewell,218
66937,Clay,206
66937,Washington,286
66938,Clay,6
66938,Cloud,601
66938,Republic,21
66938,Washington,24
66939,Jewell,27
66939,Republic,391
66940,Republic,244
66941,Jewell,189
66942,Jewell,175
66942,Republic,2
66943,Washington,289
66944,Republic,1
66944,Washington,132
66945,Marshall,6
66945,Washington,622
66946,Washington,80
66948,Cloud,283
66948,Jewell,2
66948,Republic,35
66949,Jewell,408
66951,Phillips,58
66951,Smith,408
66952,Jewell,4
66952,Smith,358
66953,Washington,351
66955,Washington,54
66956,Jewell,798
66958,Washington,182
66959,Republic,152
66960,Republic,117
66960,Washington,6
66961,Republic,15
66962,Clay,10
66962,Washington,180
66963,Jewell,112
66964,Republic,150
66966,Republic,425
66967,Smith,1444
66968,Washington,979
66970,Jewell,86
67001,Sedgwick,1070
67002,Butler,9834
67003,Harper,1827
67004,Harper,39
67004,Kingman,1
67004,Sumner,521
67005,Cowley,8208
67008,Butler,80
67008,Cowley,243
67009,Harper,566
67010,Butler,8483
67012,Butler,43
67012,Elk,2
67013,Sumner,2169
67016,Sedgwick,299
67017,Butler,1480
67017,Sedgwick,160
67018,Harper,104
67018,Sumner,1
67019,Cowley,593
67020,Harvey,777
67020,Reno,232
67020,Sedgwick,24
67021,Pratt,44
67022,Sumner,1071
67023,Cowley,158
67024,Chautauqua,450
67024,Cowley,46
67025,Kingman,436
67025,Reno,80
67025,Sedgwick,1991
67026,Sedgwick,3082
67026,Sumner,114
67028,Barber,22
67028,Kiowa,15
67028,Pratt,83
67029,Comanche,567
67029,Kiowa,2
67030,Sedgwick,1782
67031,Sedgwick,32
67031,Sumner,1482
67035,Kingman,519
67035,Pratt,44
67035,Reno,26
67036,Harper,109
67037,Sedgwick,18652
67038,Cowley,312
67039,Butler,2086
67039,Cowley,42
67039,Sedgwick,7
67041,Butler,169
67042,Butler,9640
67045,Butler,3
67045,Greenwood,2559
67047,Elk,49
67047,Greenwood,344
67047,Wilson,79
67049,Harper,51
67049,Sumner,6
67050,Reno,6
67050,Sedgwick,1292
67051,Cowley,28
67051,Sumner,290
67052,Sedgwick,5505
67053,Marion,315
67054,Edwards,5
67054,Kiowa,582
67055,Sedgwick,27
67056,Harvey,1731
67057,Barber,128
67058,Harper,1294
67058,Kingman,27
67059,Edwards,48
67059,Kiowa,462
67059,Pratt,16
67060,Sedgwick,8026
67061,Barber,92
67061,Harper,19
67062,Harvey,2605
67062,Marion,3
67062,McPherson,18
67063,Marion,2362
67065,Barber,97
67065,Pratt,32
67066,Pratt,158
67067,Sedgwick,1238
67068,Kingman,2450
67068,Reno,28
67070,Barber,709
67071,Barber,65
67072,Butler,150
67072,Cowley,16
67073,Marion,187
67074,Butler,1057
67101,Sedgwick,2994
67102,Cowley,35
67103,Sumner,237
67104,Barber,1395
67105,Sumner,118
67106,Kingman,2
67106,Sedgwick,43
67106,Sumner,236
67107,Harvey,196
67107,McPherson,1363
67108,Reno,287
67108,Sedgwick,786
67109,Edwards,2
67109,Kiowa,189
67110,Cowley,39
67110,Sedgwick,3990
67110,Sumner,1586
67111,Kingman,237
67112,Barber,17
67112,Kingman,148
67114,Butler,128
67114,Harvey,12955
67114,Marion,276
67114,McPherson,11
67117,Harvey,1310
67118,Harper,5
67118,Kingman,490
67118,Sedgwick,9
67118,Sumner,3
67119,Cowley,69
67119,Sumner,983
67120,Sedgwick,355
67120,Sumner,634
67121,Kingman,2
67122,Elk,36
67122,Greenwood,92
67123,Butler,415
67124,Pratt,4354
67127,Clark,21
67127,Comanche,366
67128,Kingman,43
67131,Cowley,169
67132,Butler,219
67133,Butler,4415
67133,Sedgwick,47
67134,Barber,27
67134,Pratt,130
67135,Harvey,1227
67135,Sedgwick,798
67137,Elk,36
67137,Greenwood,407
67138,Barber,251
67138,Harper,3
67140,Sumner,585
67142,Kingman,194
67143,Barber,52
67144,Butler,1903
67146,Cowley,1060
67146,Sumner,124
67147,Harvey,55
67147,Sedgwick,6607
67149,Sedgwick,724
67150,Harper,20
67151,Harvey,299
67151,Marion,21
67152,Sumner,6542
67154,Butler,810
67154,Harvey,172
67155,Comanche,94
67155,Kiowa,7
67156,Cowley,8301
67159,Harper,21
67159,Kingman,121
67202,Sedgwick,1149
67203,Sedgwick,15653
67204,Sedgwick,11224
67205,Sedgwick,12402
67206,Sedgwick,11885
67207,Sedgwick,15115
67208,Sedgwick,10804
67209,Sedgwick,8509
67210,Sedgwick,3442
67211,Sedgwick,9179
67212,Sedgwick,28257
67213,Sedgwick,9414
67214,Sedgwick,7040
67215,Sedgwick,3779
67216,Sedgwick,10544
67217,Sedgwick,15221
67218,Sedgwick,11723
67219,Sedgwick,6906
67220,Sedgwick,8793
67221,Sedgwick,67
67223,Sedgwick,385
67226,Sedgwick,13302
67227,Sedgwick,266
67228,Sedgwick,1597
67230,Butler,33
67230,Sedgwick,8494
67232,Sedgwick,214
67235,Sedgwick,9386
67260,Sedgwick,7
67301,Montgomery,7604
67330,Labette,1085
67332,Labette,162
67333,Montgomery,1749
67334,Chautauqua,46
67335,Labette,250
67335,Montgomery,1786
67335,Wilson,8
67336,Cherokee,143
67336,Labette,872
67337,Labette,223
67337,Montgomery,6558
67340,Montgomery,175
67341,Labette,205
67341,Neosho,3
67342,Labette,668
67344,Chautauqua,94
67344,Elk,28
67344,Montgomery,456
67345,Elk,126
67346,Chautauqua,46
67346,Elk,196
67347,Chautauqua,47
67347,Montgomery,244
67349,Elk,659
67351,Labette,14
67351,Montgomery,251
67352,Chautauqua,15
67352,Elk,312
67352,Wilson,2
67353,Chautauqua,31
67353,Elk,350
67354,Labette,502
67355,Chautauqua,134
67355,Montgomery,2
67356,Cherokee,36
67356,Labette,1712
67357,Labette,7715
67357,Neosho,349
67360,Chautauqua,259
67361,Chautauqua,1224
67363,Montgomery,53
67364,Montgomery,136
67401,Ottawa,77
67401,Saline,32922
67410,Clay,12
67410,Dickinson,6705
67416,McPherson,8
67416,Saline,835
67417,Cloud,134
67418,Lincoln,132
67418,Mitchell,16
67420,Cloud,13
67420,Jewell,4
67420,Mitchell,2855
67422,Ottawa,984
67423,Ellsworth,1
67423,Lincoln,210
67423,Saline,2
67425,Ellsworth,121
67425,Saline,389
67427,Barton,4
67427,Ellsworth,27
67427,Rice,245
67428,Marion,54
67428,McPherson,753
67430,Jewell,31
67430,Mitchell,381
67430,Osborne,9
67430,Smith,8
67431,Dickinson,1580
67431,Geary,2
67432,Clay,4046
67432,Ottawa,32
67432,Riley,6
67436,Cloud,46
67436,Ottawa,393
67437,Osborne,753
67437,Smith,42
67438,Marion,148
67439,Ellsworth,2012
67439,Lincoln,11
67441,Dickinson,710
67442,Saline,182
67443,McPherson,777
67444,Ellsworth,109
67444,Rice,248
67445,Cloud,370
67445,Ottawa,11
67446,Jewell,25
67446,Mitchell,412
67447,Clay,166
67447,Riley,43
67448,Dickinson,151
67448,Marion,2
67448,McPherson,115
67448,Saline,632
67449,Dickinson,1697
67449,Marion,5
67449,Morris,239
67450,Barton,19
67450,Ellsworth,391
67451,Dickinson,640
67451,Marion,4
67452,Lincoln,56
67452,Mitchell,111
67454,Ellsworth,466
67455,Lincoln,1268
67456,McPherson,2520
67456,Saline,446
67457,Rice,525
67458,Clay,161
67458,Ottawa,24
67459,Ellsworth,170
67460,McPherson,9188
67464,Ellsworth,125
67464,McPherson,580
67466,Clay,16
67466,Cloud,410
67466,Ottawa,44
67467,Ottawa,2019
67468,Clay,211
67470,Ottawa,13
67470,Saline,374
67473,Osborne,1216
67474,Osborne,145
67474,Smith,41
67475,Dickinson,16
67475,Marion,122
67476,McPherson,33
67477,Mitchell,4
67478,Cloud,4
67478,Mitchell,50
67480,Dickinson,884
67480,Ottawa,162
67480,Saline,107
67481,Lincoln,396
67481,Russell,21
67482,Dickinson,62
67483,Marion,181
67484,Lincoln,13
67484,Ottawa,505
67484,Saline,73
67485,Mitchell,214
67485,Osborne,41
67487,Clay,776
67487,Dickinson,41
67487,Geary,5
67490,Ellsworth,693
67490,Lincoln,18
67490,Russell,26
67491,McPherson,187
67491,Rice,30
67492,Dickinson,182
67501,Reno,14144
67502,Reno,16925
67502,Rice,18
67504,Reno,1
67505,Reno,1661
67510,Reno,220
67511,Barton,172
67511,Rush,63
67512,Reno,3
67512,Rice,128
67513,Pawnee,1
67513,Rush,58
67514,Reno,432
67515,Ness,36
67515,Trego,1
67516,Ness,232
67518,Lane,5
67518,Ness,59
67519,Edwards,109
67519,Pawnee,19
67520,Ellis,7
67520,Rush,234
67521,Ness,92
67521,Trego,12
67522,Harvey,56
67522,Reno,1417
67523,Hodgeman,38
67523,Pawnee,230
67524,Rice,359
67525,Barton,795
67525,Rice,5
67526,Barton,1790
67526,Rice,18
67526,Stafford,18
67529,Edwards,4
67529,Pawnee,227
67530,Barton,11901
67530,Stafford,49
67543,Reno,1340
67543,Sedgwick,2
67544,Barton,2226
67545,Stafford,138
67546,Harvey,10
67546,McPherson,1387
67546,Reno,26
67546,Rice,87
67547,Edwards,1093
67547,Hodgeman,31
67548,Rush,957
67550,Pawnee,3110
67550,Rush,2
67550,Stafford,25
67552,Edwards,407
67553,Rush,74
67554,Rice,2437
67556,Ellis,11
67556,Ness,11
67556,Rush,181
67557,Edwards,20
67557,Pawnee,23
67557,Pratt,14
67557,Stafford,314
67559,Pawnee,9
67559,Rush,31
67560,Hodgeman,2
67560,Ness,1070
67561,Reno,910
67561,Rice,2
67563,Edwards,200
67563,Ford,46
67563,Hodgeman,6
67564,Barton,221
67565,Barton,67
67565,Rush,218
67566,Reno,299
67567,Barton,288
67567,Pawnee,66
67567,Rush,13
67567,Stafford,20
67568,Reno,206
67570,Kingman,71
67570,Reno,833
67572,Ness,271
67572,Trego,38
67573,Rice,111
67574,Pawnee,163
67575,Pawnee,12
67575,Rush,308
67576,Pratt,4
67576,Stafford,1172
67578,Reno,4
67578,Stafford,861
67579,Reno,159
67579,Rice,1651
67581,Reno,242
67583,Pratt,196
67583,Reno,364
67583,Stafford,28
67584,Gove,10
67584,Lane,9
67584,Ness,146
67584,Trego,23
67585,Reno,26
67601,Ellis,14178
67621,Phillips,271
67622,Norton,386
67622,Phillips,1
67623,Osborne,193
67623,Smith,3
67625,Graham,164
67626,Russell,123
67627,Ellis,64
67628,Smith,63
67629,Decatur,23
67629,Norton,77
67631,Gove,2
67631,Graham,3
67631,Sheridan,2
67631,Trego,156
67632,Graham,26
67632,Rooks,157
67633,Graham,1
67634,Russell,191
67635,Decatur,86
67635,Sheridan,23
67636,Graham,5
67636,Norton,5
67637,Ellis,1706
67637,Graham,2
67637,Trego,154
67638,Osborne,2
67638,Smith,157
67639,Phillips,122
67639,Rooks,4
67640,Ellis,37
67640,Russell,290
67642,Graham,1193
67643,Decatur,150
67643,Sheridan,8
67644,Phillips,163
67644,Rooks,2
67644,Smith,3
67645,Graham,25
67645,Norton,302
67646,Graham,8
67646,Norton,12
67646,Phillips,442
67646,Rooks,8
67647,Phillips,182
67648,Lincoln,9
67648,Osborne,29
67648,Russell,336
67649,Osborne,26
67649,Russell,174
67650,Graham,183
67650,Sheridan,1
67651,Ellis,8
67651,Osborne,270
67651,Rooks,49
67651,Russell,6
67652,Norton,19
67653,Decatur,161
67653,Norton,46
67654,Norton,2480
67656,Graham,2
67656,Trego,109
67657,Graham,27
67657,Rooks,227
67657,Trego,3
67658,Osborne,15
67658,Russell,69
67659,Graham,111
67660,Ellis,40
67661,Phillips,2225
67663,Ellis,44
67663,Rooks,1686
67664,Norton,14
67664,Phillips,181
67665,Barton,27
67665,Russell,3211
67667,Ellis,136
67669,Phillips,2
67669,Rooks,1205
67671,Ellis,1093
67672,Graham,23
67672,Trego,1623
67673,Osborne,33
67673,Russell,47
67674,Ellis,49
67675,Osborne,3
67675,Rooks,139
67701,Rawlins,33
67701,Thomas,3944
67730,Rawlins,1308
67731,Cheyenne,473
67731,Rawlins,1
67732,Cheyenne,3
67732,Logan,5
67732,Rawlins,14
67732,Sherman,43
67732,Thomas,282
67733,Sherman,84
67734,Rawlins,23
67734,Thomas,112
67735,Cheyenne,4
67735,Sherman,3254
67736,Gove,167
67737,Gove,301
67737,Sheridan,40
67738,Gove,270
67738,Sheridan,97
67739,Decatur,4
67739,Rawlins,214
67740,Sheridan,1242
67741,Cheyenne,5
67741,Sherman,166
67741,Wallace,1
67743,Rawlins,10
67743,Thomas,88
67744,Rawlins,183
67745,Cheyenne,18
67745,Rawlins,251
67747,Logan,101
67747,Thomas,15
67748,Gove,58
67748,Logan,1477
67748,Sheridan,2
67748,Thomas,167
67749,Decatur,1625
67749,Rawlins,18
67751,Gove,119
67751,Sheridan,28
67752,Gove,863
67752,Sheridan,31
67753,Rawlins,22
67753,Sheridan,71
67753,Thomas,199
67756,Cheyenne,1424
67756,Sherman,1
67757,Decatur,62
67757,Sheridan,284
67757,Thomas,6
67758,Wallace,738
67759,Graham,1
67761,Logan,46
67761,Sherman,3
67761,Wallace,121
67761,Wichita,4
67762,Wallace,210
67764,Logan,235
67764,Thomas,26
67801,Ford,12674
67801,Hodgeman,8
67831,Clark,774
67834,Clark,28
67834,Ford,555
67834,Kiowa,5
67835,Finney,84
67835,Gray,1625
67835,Hodgeman,16
67836,Hamilton,73
67837,Gray,191
67837,Haskell,88
67837,Meade,20
67838,Finney,8
67838,Kearny,481
67839,Gove,21
67839,Lane,1038
67840,Clark,75
67840,Meade,5
67841,Ford,40
67841,Gray,167
67842,Clark,6
67842,Ford,264
67843,Ford,82
67844,Clark,3
67844,Ford,28
67844,Gray,9
67844,Meade,547
67846,Finney,18471
67846,Gray,18
67846,Lane,8
67849,Hodgeman,303
67849,Ness,2
67850,Gove,1
67850,Lane,212
67850,Scott,15
67851,Finney,1516
67851,Kearny,1
67851,Scott,1
67853,Finney,27
67853,Gray,438
67854,Hodgeman,942
67855,Morton,4
67855,Stanton,993
67857,Hamilton,81
67857,Kearny,46
67859,Meade,1
67859,Seward,326
67860,Kearny,1589
67861,Logan,3
67861,Wallace,2
67861,Wichita,1168
67862,Morton,13
67862,Stanton,161
67863,Logan,4
67863,Scott,47
67863,Wichita,177
67864,Meade,1686
67865,Clark,571
67865,Ford,100
67867,Gray,493
67867,Meade,11
67868,Finney,109
67868,Gray,20
67868,Haskell,1
67869,Meade,904
67869,Seward,33
67870,Haskell,982
67870,Seward,38
67871,Finney,21
67871,Gove,4
67871,Logan,24
67871,Scott,3241
67871,Wichita,12
67874,Gove,1
67876,Ford,806
67876,Hodgeman,46
67877,Haskell,1322
67877,Seward,15
67878,Hamilton,1141
67879,Greeley,869
67880,Grant,3450
67880,Haskell,1
67880,Kearny,33
67882,Ford,259
67901,Seward,9627
67901,Stevens,15
67950,Morton,1419
67951,Stevens,2631
67952,Haskell,1
67952,Seward,9
67952,Stevens,305
67953,Morton,113
67954,Morton,393
67954,Stevens,19
68325,Republic,25
68327,Republic,19
68381,Marshall,1
68420,Nemaha,4
68466,Marshall,2
68777,Haskell,1
68939,Smith,2
68943,Republic,13
68978,Jewell,41
69026,Decatur,15
69030,Cheyenne,2
69036,Decatur,3
69043,Rawlins,2
69044,Rawlins,6
